# dataset graph n_nodes n_4_cliques
bio-SC-HT bio-SC-HT_25.txt 2077 511
bio-SC-HT bio-SC-HT_26.txt 2077 494
bio-SC-HT bio-SC-HT_27.txt 2077 488
bio-SC-HT bio-SC-HT_28.txt 2077 467
bio-SC-HT bio-SC-HT_29.txt 2077 476
bio-SC-HT bio-SC-HT_2.txt 2077 485
bio-SC-HT bio-SC-HT_30.txt 2077 479
bio-SC-HT bio-SC-HT_31.txt 2077 495
bio-SC-HT bio-SC-HT_32.txt 2077 560
bio-SC-HT bio-SC-HT_33.txt 2077 499
bio-SC-HT bio-SC-HT_34.txt 2077 499
bio-SC-HT bio-SC-HT_35.txt 2077 512
bio-SC-HT bio-SC-HT_36.txt 2077 447
bio-SC-HT bio-SC-HT_37.txt 2077 517
bio-SC-HT bio-SC-HT_38.txt 2077 488
bio-SC-HT bio-SC-HT_39.txt 2077 475
bio-SC-HT bio-SC-HT_3.txt 2077 534
bio-SC-HT bio-SC-HT_40.txt 2077 471
bio-SC-HT bio-SC-HT_41.txt 2077 453
bio-SC-HT bio-SC-HT_42.txt 2077 496
bio-SC-HT bio-SC-HT_43.txt 2077 481
bio-SC-HT bio-SC-HT_44.txt 2077 490
bio-SC-HT bio-SC-HT_45.txt 2077 483
bio-SC-HT bio-SC-HT_46.txt 2077 516
bio-SC-HT bio-SC-HT_47.txt 2077 477
bio-SC-HT bio-SC-HT_48.txt 2077 483
bio-SC-HT bio-SC-HT_49.txt 2077 484
bio-SC-HT bio-SC-HT_4.txt 2077 556
bio-SC-HT bio-SC-HT_50.txt 2077 555
bio-SC-HT bio-SC-HT_51.txt 2077 492
bio-SC-HT bio-SC-HT_52.txt 2077 551
bio-SC-HT bio-SC-HT_53.txt 2077 501
bio-SC-HT bio-SC-HT_54.txt 2077 509
bio-SC-HT bio-SC-HT_55.txt 2077 489
bio-SC-HT bio-SC-HT_56.txt 2077 473
bio-SC-HT bio-SC-HT_57.txt 2077 470
bio-SC-HT bio-SC-HT_58.txt 2077 501
bio-SC-HT bio-SC-HT_59.txt 2077 503
bio-SC-HT bio-SC-HT_5.txt 2077 472
bio-SC-HT bio-SC-HT_60.txt 2077 475
bio-SC-HT bio-SC-HT_61.txt 2077 491
bio-SC-HT bio-SC-HT_62.txt 2077 496
bio-SC-HT bio-SC-HT_63.txt 2077 468
bio-SC-HT bio-SC-HT_64.txt 2077 478
bio-SC-HT bio-SC-HT_65.txt 2077 506
bio-SC-HT bio-SC-HT_66.txt 2077 437
bio-SC-HT bio-SC-HT_67.txt 2077 459
bio-SC-HT bio-SC-HT_68.txt 2077 477
bio-SC-HT bio-SC-HT_69.txt 2077 473
bio-SC-HT bio-SC-HT_6.txt 2077 453
bio-SC-HT bio-SC-HT_70.txt 2077 493
bio-SC-HT bio-SC-HT_71.txt 2077 456
bio-SC-HT bio-SC-HT_72.txt 2077 501
bio-SC-HT bio-SC-HT_73.txt 2077 516
bio-SC-HT bio-SC-HT_74.txt 2077 472
bio-SC-HT bio-SC-HT_75.txt 2077 499
bio-SC-HT bio-SC-HT_76.txt 2077 473
bio-SC-HT bio-SC-HT_77.txt 2077 450
bio-SC-HT bio-SC-HT_78.txt 2077 478
bio-SC-HT bio-SC-HT_79.txt 2077 463
bio-SC-HT bio-SC-HT_7.txt 2077 440
bio-SC-HT bio-SC-HT_80.txt 2077 440
bio-SC-HT bio-SC-HT_81.txt 2077 481
bio-SC-HT bio-SC-HT_82.txt 2077 507
bio-SC-HT bio-SC-HT_83.txt 2077 455
bio-SC-HT bio-SC-HT_84.txt 2077 474
bio-SC-HT bio-SC-HT_85.txt 2077 457
bio-SC-HT bio-SC-HT_86.txt 2077 460
bio-SC-HT bio-SC-HT_87.txt 2077 503
bio-SC-HT bio-SC-HT_88.txt 2077 489
bio-SC-HT bio-SC-HT_89.txt 2077 517
bio-SC-HT bio-SC-HT_8.txt 2077 479
bio-SC-HT bio-SC-HT_90.txt 2077 492
bio-SC-HT bio-SC-HT_91.txt 2077 472
bio-SC-HT bio-SC-HT_92.txt 2077 474
bio-SC-HT bio-SC-HT_93.txt 2077 488
bio-SC-HT bio-SC-HT_94.txt 2077 496
bio-SC-HT bio-SC-HT_95.txt 2077 504
bio-SC-HT bio-SC-HT_96.txt 2077 480
bio-SC-HT bio-SC-HT_97.txt 2077 421
bio-SC-HT bio-SC-HT_98.txt 2077 515
bio-SC-HT bio-SC-HT_99.txt 2077 511
bio-SC-HT bio-SC-HT_9.txt 2077 431
facebook facebook_0.txt 4039 17
facebook facebook_10.txt 4039 11
facebook facebook_11.txt 4039 25
facebook facebook_12.txt 4039 23
facebook facebook_13.txt 4039 16
facebook facebook_14.txt 4039 19
facebook facebook_15.txt 4039 21
facebook facebook_16.txt 4039 27
facebook facebook_17.txt 4039 16
facebook facebook_18.txt 4039 8
facebook facebook_19.txt 4039 13
facebook facebook_1.txt 4039 20
facebook facebook_20.txt 4039 11
facebook facebook_21.txt 4039 13
facebook facebook_22.txt 4039 17
facebook facebook_23.txt 4039 14
facebook facebook_24.txt 4039 12
facebook facebook_25.txt 4039 24
facebook facebook_26.txt 4039 25
facebook facebook_27.txt 4039 16
facebook facebook_28.txt 4039 12
facebook facebook_29.txt 4039 21
facebook facebook_2.txt 4039 15
facebook facebook_30.txt 4039 13
facebook facebook_31.txt 4039 13
facebook facebook_32.txt 4039 12
facebook facebook_33.txt 4039 20
facebook facebook_34.txt 4039 13
facebook facebook_35.txt 4039 15
facebook facebook_36.txt 4039 13
facebook facebook_37.txt 4039 18
facebook facebook_38.txt 4039 21
facebook facebook_39.txt 4039 20
facebook facebook_3.txt 4039 21
facebook facebook_40.txt 4039 21
facebook facebook_41.txt 4039 24
facebook facebook_42.txt 4039 12
facebook facebook_43.txt 4039 13
facebook facebook_44.txt 4039 20
facebook facebook_45.txt 4039 19
facebook facebook_46.txt 4039 17
facebook facebook_47.txt 4039 17
facebook facebook_48.txt 4039 8
facebook facebook_49.txt 4039 15
facebook facebook_4.txt 4039 13
facebook facebook_50.txt 4039 17
facebook facebook_51.txt 4039 12
facebook facebook_52.txt 4039 20
facebook facebook_53.txt 4039 17
facebook facebook_54.txt 4039 20
facebook facebook_55.txt 4039 20
facebook facebook_56.txt 4039 12
facebook facebook_57.txt 4039 23
facebook facebook_58.txt 4039 16
facebook facebook_59.txt 4039 19
facebook facebook_5.txt 4039 17
facebook facebook_60.txt 4039 8
facebook facebook_61.txt 4039 20
facebook facebook_62.txt 4039 14
facebook facebook_63.txt 4039 14
facebook facebook_64.txt 4039 24
facebook facebook_65.txt 4039 22
facebook facebook_66.txt 4039 11
facebook facebook_67.txt 4039 20
facebook facebook_68.txt 4039 28
facebook facebook_69.txt 4039 22
facebook facebook_6.txt 4039 14
facebook facebook_70.txt 4039 16
facebook facebook_71.txt 4039 18
facebook facebook_72.txt 4039 24
facebook facebook_73.txt 4039 18
facebook facebook_74.txt 4039 18
facebook facebook_75.txt 4039 14
facebook facebook_76.txt 4039 26
facebook facebook_77.txt 4039 16
facebook facebook_78.txt 4039 21
facebook facebook_79.txt 4039 11
facebook facebook_7.txt 4039 15
facebook facebook_80.txt 4039 19
facebook facebook_81.txt 4039 11
facebook facebook_82.txt 4039 11
facebook facebook_83.txt 4039 25
facebook facebook_84.txt 4039 14
facebook facebook_85.txt 4039 18
facebook facebook_86.txt 4039 10
facebook facebook_87.txt 4039 17
facebook facebook_88.txt 4039 15
facebook facebook_89.txt 4039 10
facebook facebook_8.txt 4039 14
facebook facebook_90.txt 4039 15
facebook facebook_91.txt 4039 31
facebook facebook_92.txt 4039 17
facebook facebook_93.txt 4039 19
facebook facebook_94.txt 4039 8
facebook facebook_95.txt 4039 14
facebook facebook_96.txt 4039 21
facebook facebook_97.txt 4039 27
facebook facebook_98.txt 4039 18
facebook facebook_99.txt 4039 14
facebook facebook_9.txt 4039 11
hamsterster hamsterster_0.txt 2000 0
hamsterster hamsterster_10.txt 2000 0
hamsterster hamsterster_11.txt 2000 1
hamsterster hamsterster_12.txt 2000 0
hamsterster hamsterster_13.txt 2000 0
hamsterster hamsterster_14.txt 2000 0
hamsterster hamsterster_15.txt 2000 0
hamsterster hamsterster_16.txt 2000 1
hamsterster hamsterster_17.txt 2000 0
hamsterster hamsterster_18.txt 2000 0
hamsterster hamsterster_19.txt 2000 1
hamsterster hamsterster_1.txt 2000 0
hamsterster hamsterster_20.txt 2000 1
hamsterster hamsterster_21.txt 2000 0
hamsterster hamsterster_22.txt 2000 0
hamsterster hamsterster_23.txt 2000 0
hamsterster hamsterster_24.txt 2000 2
hamsterster hamsterster_25.txt 2000 0
hamsterster hamsterster_26.txt 2000 1
hamsterster hamsterster_27.txt 2000 0
hamsterster hamsterster_28.txt 2000 0
hamsterster hamsterster_29.txt 2000 0
hamsterster hamsterster_2.txt 2000 0
hamsterster hamsterster_30.txt 2000 0
hamsterster hamsterster_31.txt 2000 0
hamsterster hamsterster_32.txt 2000 1
hamsterster hamsterster_33.txt 2000 0
hamsterster hamsterster_34.txt 2000 0
hamsterster hamsterster_35.txt 2000 0
hamsterster hamsterster_36.txt 2000 0
hamsterster hamsterster_37.txt 2000 0
hamsterster hamsterster_38.txt 2000 0
hamsterster hamsterster_39.txt 2000 0
hamsterster hamsterster_3.txt 2000 0
hamsterster hamsterster_40.txt 2000 0
hamsterster hamsterster_41.txt 2000 1
hamsterster hamsterster_42.txt 2000 0
hamsterster hamsterster_43.txt 2000 0
hamsterster hamsterster_44.txt 2000 0
hamsterster hamsterster_45.txt 2000 0
hamsterster hamsterster_46.txt 2000 0
hamsterster hamsterster_47.txt 2000 1
hamsterster hamsterster_48.txt 2000 0
hamsterster hamsterster_49.txt 2000 0
hamsterster hamsterster_4.txt 2000 0
hamsterster hamsterster_50.txt 2000 0
hamsterster hamsterster_51.txt 2000 0
hamsterster hamsterster_52.txt 2000 0
hamsterster hamsterster_53.txt 2000 0
hamsterster hamsterster_54.txt 2000 0
hamsterster hamsterster_55.txt 2000 0
hamsterster hamsterster_56.txt 2000 1
hamsterster hamsterster_57.txt 2000 0
hamsterster hamsterster_58.txt 2000 0
hamsterster hamsterster_59.txt 2000 0
hamsterster hamsterster_5.txt 2000 0
hamsterster hamsterster_60.txt 2000 0
hamsterster hamsterster_61.txt 2000 1
hamsterster hamsterster_62.txt 2000 0
hamsterster hamsterster_63.txt 2000 0
hamsterster hamsterster_64.txt 2000 0
hamsterster hamsterster_65.txt 2000 0
hamsterster hamsterster_66.txt 2000 0
hamsterster hamsterster_67.txt 2000 0
hamsterster hamsterster_68.txt 2000 0
hamsterster hamsterster_69.txt 2000 0
hamsterster hamsterster_6.txt 2000 0
hamsterster hamsterster_70.txt 2000 1
hamsterster hamsterster_71.txt 2000 0
hamsterster hamsterster_72.txt 2000 0
hamsterster hamsterster_73.txt 2000 0
hamsterster hamsterster_74.txt 2000 0
hamsterster hamsterster_75.txt 2000 0
hamsterster hamsterster_76.txt 2000 0
hamsterster hamsterster_77.txt 2000 0
hamsterster hamsterster_78.txt 2000 0
hamsterster hamsterster_79.txt 2000 0
hamsterster hamsterster_7.txt 2000 1
hamsterster hamsterster_80.txt 2000 0
hamsterster hamsterster_81.txt 2000 0
hamsterster hamsterster_82.txt 2000 0
hamsterster hamsterster_83.txt 2000 1
hamsterster hamsterster_84.txt 2000 0
hamsterster hamsterster_85.txt 2000 0
hamsterster hamsterster_86.txt 2000 0
hamsterster hamsterster_87.txt 2000 0
hamsterster hamsterster_88.txt 2000 0
hamsterster hamsterster_89.txt 2000 0
hamsterster hamsterster_8.txt 2000 0
hamsterster hamsterster_90.txt 2000 0
hamsterster hamsterster_91.txt 2000 0
hamsterster hamsterster_92.txt 2000 0
hamsterster hamsterster_93.txt 2000 0
hamsterster hamsterster_94.txt 2000 1
hamsterster hamsterster_95.txt 2000 0
hamsterster hamsterster_96.txt 2000 0
hamsterster hamsterster_97.txt 2000 1
hamsterster hamsterster_98.txt 2000 0
hamsterster hamsterster_99.txt 2000 0
hamsterster hamsterster_9.txt 2000 1
polblogs polblogs_0.txt 1222 16
polblogs polblogs_10.txt 1222 9
polblogs polblogs_11.txt 1222 5
polblogs polblogs_12.txt 1222 12
polblogs polblogs_13.txt 1222 18
polblogs polblogs_14.txt 1222 9
polblogs polblogs_15.txt 1222 12
polblogs polblogs_16.txt 1222 12
polblogs polblogs_17.txt 1222 11
polblogs polblogs_18.txt 1222 7
polblogs polblogs_19.txt 1222 16
polblogs polblogs_1.txt 1222 12
polblogs polblogs_20.txt 1222 7
polblogs polblogs_21.txt 1222 12
polblogs polblogs_22.txt 1222 8
polblogs polblogs_23.txt 1222 12
polblogs polblogs_24.txt 1222 14
polblogs polblogs_25.txt 1222 14
polblogs polblogs_26.txt 1222 11
polblogs polblogs_27.txt 1222 9
polblogs polblogs_28.txt 1222 15
polblogs polblogs_29.txt 1222 8
polblogs polblogs_2.txt 1222 9
polblogs polblogs_30.txt 1222 10
polblogs polblogs_31.txt 1222 8
polblogs polblogs_32.txt 1222 8
polblogs polblogs_33.txt 1222 12
polblogs polblogs_34.txt 1222 14
polblogs polblogs_35.txt 1222 13
polblogs polblogs_36.txt 1222 20
polblogs polblogs_37.txt 1222 11
polblogs polblogs_38.txt 1222 13
polblogs polblogs_39.txt 1222 10
polblogs polblogs_3.txt 1222 12
polblogs polblogs_40.txt 1222 16
polblogs polblogs_41.txt 1222 7
polblogs polblogs_42.txt 1222 7
polblogs polblogs_43.txt 1222 10
polblogs polblogs_44.txt 1222 15
polblogs polblogs_45.txt 1222 7
polblogs polblogs_46.txt 1222 15
polblogs polblogs_47.txt 1222 11
polblogs polblogs_48.txt 1222 12
polblogs polblogs_49.txt 1222 17
polblogs polblogs_4.txt 1222 8
polblogs polblogs_50.txt 1222 9
polblogs polblogs_51.txt 1222 11
polblogs polblogs_52.txt 1222 13
polblogs polblogs_53.txt 1222 11
polblogs polblogs_54.txt 1222 8
polblogs polblogs_55.txt 1222 6
polblogs polblogs_56.txt 1222 13
polblogs polblogs_57.txt 1222 13
polblogs polblogs_58.txt 1222 12
polblogs polblogs_59.txt 1222 12
polblogs polblogs_5.txt 1222 15
polblogs polblogs_60.txt 1222 6
polblogs polblogs_61.txt 1222 10
polblogs polblogs_62.txt 1222 15
polblogs polblogs_63.txt 1222 13
polblogs polblogs_64.txt 1222 13
polblogs polblogs_65.txt 1222 6
polblogs polblogs_66.txt 1222 20
polblogs polblogs_67.txt 1222 11
polblogs polblogs_68.txt 1222 11
polblogs polblogs_69.txt 1222 11
polblogs polblogs_6.txt 1222 20
polblogs polblogs_70.txt 1222 9
polblogs polblogs_71.txt 1222 13
polblogs polblogs_72.txt 1222 17
polblogs polblogs_73.txt 1222 10
polblogs polblogs_74.txt 1222 9
polblogs polblogs_75.txt 1222 12
polblogs polblogs_76.txt 1222 7
polblogs polblogs_77.txt 1222 14
polblogs polblogs_78.txt 1222 10
polblogs polblogs_79.txt 1222 14
polblogs polblogs_7.txt 1222 8
polblogs polblogs_80.txt 1222 12
polblogs polblogs_81.txt 1222 10
polblogs polblogs_82.txt 1222 8
polblogs polblogs_83.txt 1222 17
polblogs polblogs_84.txt 1222 13
polblogs polblogs_85.txt 1222 10
polblogs polblogs_86.txt 1222 11
polblogs polblogs_87.txt 1222 11
polblogs polblogs_88.txt 1222 12
polblogs polblogs_89.txt 1222 5
polblogs polblogs_8.txt 1222 7
polblogs polblogs_90.txt 1222 12
polblogs polblogs_91.txt 1222 9
polblogs polblogs_92.txt 1222 6
polblogs polblogs_93.txt 1222 18
polblogs polblogs_94.txt 1222 16
polblogs polblogs_95.txt 1222 2
polblogs polblogs_96.txt 1222 14
polblogs polblogs_97.txt 1222 14
polblogs polblogs_98.txt 1222 16
polblogs polblogs_99.txt 1222 12
polblogs polblogs_9.txt 1222 7
web-spam web-spam_0.txt 4767 0
web-spam web-spam_10.txt 4767 0
web-spam web-spam_11.txt 4767 0
web-spam web-spam_12.txt 4767 0
web-spam web-spam_13.txt 4767 0
web-spam web-spam_14.txt 4767 0
web-spam web-spam_15.txt 4767 0
web-spam web-spam_16.txt 4767 0
web-spam web-spam_17.txt 4767 0
web-spam web-spam_18.txt 4767 0
web-spam web-spam_19.txt 4767 0
web-spam web-spam_1.txt 4767 0
web-spam web-spam_20.txt 4767 0
web-spam web-spam_21.txt 4767 0
