# model dataset graph n_nodes n_4_cliques
ER_iid bio-SC-HT res_25.txt 2077 25715375
ER_iid bio-SC-HT res_26.txt 2077 27823901
ER_iid bio-SC-HT res_27.txt 2077 29706023
ER_iid bio-SC-HT res_28.txt 2077 30605994
ER_iid bio-SC-HT res_29.txt 2076 29034934
ER_iid bio-SC-HT res_2.txt 2077 30919687
ER_iid bio-SC-HT res_30.txt 2077 31557474
ER_iid bio-SC-HT res_31.txt 2076 28351213
ER_iid bio-SC-HT res_32.txt 2077 12313616
ER_iid bio-SC-HT res_33.txt 2077 28199188
ER_iid bio-SC-HT res_34.txt 2077 26509222
ER_iid bio-SC-HT res_35.txt 2075 31023787
ER_iid bio-SC-HT res_36.txt 2077 22593971
ER_iid bio-SC-HT res_37.txt 2077 22395062
ER_iid bio-SC-HT res_38.txt 2076 23677288
ER_iid bio-SC-HT res_39.txt 2077 31530799
ER_iid bio-SC-HT res_3.txt 2074 25148383
ER_iid bio-SC-HT res_40.txt 2075 32675696
ER_iid bio-SC-HT res_41.txt 2075 20510085
ER_iid bio-SC-HT res_42.txt 2077 26355367
ER_iid bio-SC-HT res_43.txt 2076 25074070
ER_iid bio-SC-HT res_44.txt 2075 31301889
ER_iid bio-SC-HT res_45.txt 2075 35561779
ER_iid bio-SC-HT res_46.txt 2075 15348990
ER_iid bio-SC-HT res_47.txt 2075 30561257
ER_iid bio-SC-HT res_48.txt 2077 28800924
ER_iid bio-SC-HT res_49.txt 2077 30506180
ER_iid bio-SC-HT res_4.txt 2076 34682820
ER_iid bio-SC-HT res_50.txt 2075 29951082
ER_iid bio-SC-HT res_51.txt 2075 21048762
ER_iid bio-SC-HT res_52.txt 2075 27973702
ER_iid bio-SC-HT res_53.txt 2077 25356532
ER_iid bio-SC-HT res_54.txt 2076 34355601
ER_iid bio-SC-HT res_55.txt 2077 18771973
ER_iid bio-SC-HT res_56.txt 2075 28701138
ER_iid bio-SC-HT res_57.txt 2077 27766653
ER_iid bio-SC-HT res_58.txt 2077 22772925
ER_iid bio-SC-HT res_59.txt 2076 25894811
ER_iid bio-SC-HT res_5.txt 2075 19624676
ER_iid bio-SC-HT res_60.txt 2076 28485348
ER_iid bio-SC-HT res_61.txt 2077 26549903
ER_iid bio-SC-HT res_62.txt 2077 25245223
ER_iid bio-SC-HT res_63.txt 2076 24982174
ER_iid bio-SC-HT res_64.txt 2077 40589157
ER_iid bio-SC-HT res_65.txt 2077 35093938
ER_iid bio-SC-HT res_66.txt 2077 29288306
ER_iid bio-SC-HT res_67.txt 2074 20703757
ER_iid bio-SC-HT res_68.txt 2076 24512328
ER_iid bio-SC-HT res_69.txt 2076 27790168
ER_iid bio-SC-HT res_6.txt 2077 21279514
ER_iid bio-SC-HT res_70.txt 2077 25797670
ER_iid bio-SC-HT res_71.txt 2077 23279747
ER_iid bio-SC-HT res_72.txt 2077 29653259
ER_iid bio-SC-HT res_73.txt 2077 31059852
ER_iid bio-SC-HT res_74.txt 2077 28973455
ER_iid bio-SC-HT res_75.txt 2077 28347408
ER_iid bio-SC-HT res_76.txt 2074 14716875
ER_iid bio-SC-HT res_77.txt 2077 30803184
ER_iid bio-SC-HT res_78.txt 2076 27780173
ER_iid bio-SC-HT res_79.txt 2076 29988500
ER_iid bio-SC-HT res_7.txt 2077 21988970
ER_iid bio-SC-HT res_80.txt 2077 27719450
ER_iid bio-SC-HT res_81.txt 2076 10824559
ER_iid bio-SC-HT res_82.txt 2077 23050604
ER_iid bio-SC-HT res_83.txt 2076 32041535
ER_iid bio-SC-HT res_84.txt 2077 22683419
ER_iid bio-SC-HT res_85.txt 2074 14739707
ER_iid bio-SC-HT res_86.txt 2075 24743158
ER_iid bio-SC-HT res_87.txt 2076 22099792
ER_iid bio-SC-HT res_88.txt 2076 17358427
ER_iid bio-SC-HT res_89.txt 2077 23040818
ER_iid bio-SC-HT res_8.txt 2077 26248836
ER_iid bio-SC-HT res_90.txt 2077 28093679
ER_iid bio-SC-HT res_91.txt 2077 33384744
ER_iid bio-SC-HT res_92.txt 2077 26487627
ER_iid bio-SC-HT res_93.txt 2077 28253601
ER_iid bio-SC-HT res_94.txt 2074 21350585
ER_iid bio-SC-HT res_95.txt 2077 32001229
ER_iid bio-SC-HT res_96.txt 2077 20727538
ER_iid bio-SC-HT res_97.txt 2077 36862259
ER_iid bio-SC-HT res_98.txt 2077 24197233
ER_iid bio-SC-HT res_99.txt 2076 18273797
ER_iid bio-SC-HT res_9.txt 2077 26356369
ER_iid facebook res_0.txt 4037 34283434
ER_iid facebook res_10.txt 4039 21111302
ER_iid facebook res_11.txt 4038 24778575
ER_iid facebook res_12.txt 4039 19441135
ER_iid facebook res_13.txt 4038 22947559
ER_iid facebook res_14.txt 4031 32336476
ER_iid facebook res_15.txt 4039 32818091
ER_iid facebook res_16.txt 4039 31209139
ER_iid facebook res_17.txt 4036 25652668
ER_iid facebook res_18.txt 4036 27787224
ER_iid facebook res_19.txt 4037 21642167
ER_iid facebook res_1.txt 4039 33942504
ER_iid facebook res_20.txt 4039 26067962
ER_iid facebook res_21.txt 4038 21886256
ER_iid facebook res_22.txt 4036 30097550
ER_iid facebook res_23.txt 4038 30568740
ER_iid facebook res_24.txt 4039 32877277
ER_iid facebook res_25.txt 4037 30478385
ER_iid facebook res_26.txt 4036 31593696
ER_iid facebook res_27.txt 4036 27716474
ER_iid facebook res_28.txt 4038 34675574
ER_iid facebook res_29.txt 4039 21850793
ER_iid facebook res_2.txt 4039 33839006
ER_iid facebook res_30.txt 4038 31391684
ER_iid facebook res_31.txt 4039 35270226
ER_iid facebook res_32.txt 4038 23405874
ER_iid facebook res_33.txt 4039 24452289
ER_iid facebook res_34.txt 4039 29320499
ER_iid facebook res_35.txt 4039 27570018
ER_iid facebook res_36.txt 4037 25188257
ER_iid facebook res_37.txt 4039 27086913
ER_iid facebook res_38.txt 4038 26736056
ER_iid facebook res_39.txt 4038 30282558
ER_iid facebook res_3.txt 4038 32269304
ER_iid facebook res_40.txt 4034 21806124
ER_iid facebook res_41.txt 4038 25647411
ER_iid facebook res_42.txt 4039 28101497
ER_iid facebook res_43.txt 4039 30086125
ER_iid facebook res_44.txt 4038 32092976
ER_iid facebook res_45.txt 4039 27571000
ER_iid facebook res_46.txt 4037 31755235
ER_iid facebook res_47.txt 4035 31038232
ER_iid facebook res_48.txt 4039 26604771
ER_iid facebook res_49.txt 4037 23165007
ER_iid facebook res_4.txt 4037 22261626
ER_iid facebook res_50.txt 4034 26801106
ER_iid facebook res_51.txt 4035 31486140
ER_iid facebook res_52.txt 4038 20814059
ER_iid facebook res_53.txt 4039 31702335
ER_iid facebook res_54.txt 4039 29894353
ER_iid facebook res_55.txt 4039 35779893
ER_iid facebook res_56.txt 4039 38438874
ER_iid facebook res_57.txt 4037 25254515
ER_iid facebook res_58.txt 4039 33680249
ER_iid facebook res_59.txt 4038 26134264
ER_iid facebook res_5.txt 4039 25341891
ER_iid facebook res_60.txt 4039 33808499
ER_iid facebook res_61.txt 4039 32917444
ER_iid facebook res_62.txt 4037 29232620
ER_iid facebook res_63.txt 4039 30203262
ER_iid facebook res_64.txt 4038 24607444
